# Created by:        SpecsLab Prodigy, Version 4.112.1-r117979 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    no
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        no
#   Time Zone Format:         UTC
#
# Group:                        Gamma
#
# Region:                       WAM_110_4eV
# Spectrum ID:                  4
# Acquisition Date:             06/17/24 12:13:43 UTC
# Analysis Method:              UPS
# Analyzer Lens:                WideAngleMode:400V
# Analyzer Slit:                1:0.2x20\B:open
# Scan Mode:                    SnapshotFAT
# Scan Variable:                Kinetic Energy
# Curves/Scan:                  82
# Values/Curve:                 1
# Dwell Time:                   1
# Excitation Energy:            21.2182
# Kinetic Energy:               17.9405
# Pass Energy:                  20
# Bias Voltage:                 0
# Detector Voltage:             1450
# Eff. Workfunction:            4.3
# Source:                       UVS
# Comment:                      
# OrdinateRange:                [-11.682692, 11.971154]

# Cycle: 0
#
# Number of Scans: 300

# Cycle: 0, Curve: 0
#
# NonEnergyOrdinate:            -11.5385
# Acquisition Date:             06/17/24 12:13:43 UTC
# ColumnLabels:                 energy counts/s
#
16.942607  104.00971
16.958636  104.75079
16.974665  104.56702
16.990695  102.4948
17.006724  102.17819
17.022753  100.45191
17.038782  101.17059
17.054811  99.952031
17.07084  100.1971
17.086869  99.740195
17.102898  98.151621
17.118927  98.844004
17.134956  97.571452
17.150985  97.140449
17.167014  97.244362
17.183044  96.860599
17.199073  96.305241
17.215102  95.616725
17.231131  94.686589
17.24716  94.191042
17.263189  93.933574
17.279218  94.14959
17.295247  93.313763
17.311276  93.312643
17.327305  93.250898
17.343334  93.56946
17.359364  92.681758
17.375393  92.759329
17.391422  92.693314
17.407451  92.123171
17.42348  92.782116
17.439509  94.180417
17.455538  92.517721
17.471567  92.922064
17.487596  93.603587
17.503625  93.146302
17.519654  93.386999
17.535684  93.524655
17.551713  93.856563
17.567742  95.047454
17.58377  95.001536
17.599792  94.936217
17.615816  95.136315
17.631844  95.385313
17.647865  95.086556
17.663892  96.150195
17.679917  96.848763
17.695939  95.617324
17.711967  96.09584
17.727989  97.10834
17.744014  96.305924
17.76004  96.294896
17.776062  95.708301
17.79209  95.826074
17.808113  95.633431
17.824137  95.665358
17.840164  95.064863
17.856186  95.481432
17.872212  96.264408
17.888237  96.67252
17.90426  96.309538
17.920287  96.920169
17.93631  96.966348
